area,branch,name,postalCode,street
Leipzig,,T.R. Beteiligungs GmbH,04109,Willy-Brandt-Platz 7
Bischofswerda,,T.O.P. - Gesellschaft für angewandte Arbeitswissenschaften mbH,01877,Bischofstr. 18
Dresden,,O.C.J.G. GmbH,01139,Herbststraße 20
Dresden,,Oakshire Capital GmbH,01067,Dr.-Külz-Ring 15
Görlitz,,i-Büroservice RL UG (haftungsbeschränkt),02826,Elisabethstr. 31
Großpostwitz,,Oberlausitzer Agrar GmbH,02692,Fabrikstr. 29 A
,,Oberlausitzer Alpakaland e.V.,,
Mochau OT Choren,,"""Elbfrost Tiefkühlkost GmbH""",04720,Nossener Str. 20
Radebeul,,I.C.M. Schiffsbeteiligungsgesellschaft mbH & Co KG,01445,Augustusweg 44
Großenhain,,"""Good-looking"" S.P.K. Freizeitmode GmbH Textilhandel (Neuer Firmenname: Good Future CT 1993 GmbH)",01558,Frauenmarkt 15
Görlitz,,"""Görlitzer Zeit"" GmbH (Neuer Firmenname: Görlitzer Zeit und Touristik GmbH)",02826,Breite Str. 24
Glaubitz,,"""Sister Eck"" Friseursalon UG (haftungsbeschränkt)",01612,Str. der Jugend 47
Dresden,,"""The Dubliner"" Irish Pub UG (haftungsbeschränkt)",01067,Gewandhausstr. 7
,,404 Multigaming e.V.,,
Hirschfelde,,42. Vermögenverwaltungsgesellschaft Spinnerei GmbH Hirschfelde,02786,Postfach 24
Heidenau,,T.O.P. - Gesellschaft für angewandte Arbeitswissenschaft mbH,01809,Siegfried-Rädel-Str. 6
Neuhardenberg,,G & R Projekt- und Beteiligungs GmbH & Co. KG,15320,Oderbruchstr. 24 a
Radebeul,,G & P Radebeuler Fliesenleger GmbH,01445,Altnaundorf 38
Dresden,,G & P Managementholding GmbH,01277,Dornblüthstr. 16
Berlin,,G U N Immobilien Consulting GmbH,10115,Brunnenstr. 145
Großräschen,,G&B Vertriebs Verwaltungs GmbH,01983,Magdalenenstr. 17
Görlitz,,G R A F - Kantor OHG,02826,Am Stadtpark 8
Dresden,,G E A - Gesellschaft für Energieeffizienz und Architektur - mit beschränkter Haftung,01277,Scariastr. 14
Zittau,,G E W O - Bauträger und Projektentwicklung GmbH,02763,Bahnhofstr. 21
Pirna OT Neundorf,,G B S Gastronomie,01796,Altneundorf Nr. 61
Bad Muskau,,G + M Autohandel-Vermietung und Transport Fenske GmbH,02953,Clara-Zetkin-Straße 20
Hoyerswerda,,G + L Garten- und Landschaftsbau UG (haftungsbeschränkt),02977,Grünstr. 24
Wilsdruff OT Kesselsdorf,,G & W Recycling GmbH,01723,Am Wüsteberg 2
Dresden,,G & W Leiterplatten Dresden Verwaltungsgesellschaft mbH (Neuer Firmenname: G & W Verwaltungs-GmbH),01189,Heidelberger Str. 16
Kesselsdorf,,G & W GmbH,01723,Am Wüsteberg 2
Dresden,,G & W Grundstücksverwaltungs GmbH & Co. KG,01189,Heidelberger Str. 16
Dresden,,G & W Leiterplatten Dresden GmbH & Co. KG,01189,Heidelberger Str. 16
Lohmen,,G & W Gewerbe- und Wohnungsbaugesellschaft mbH,18276,Dorfstr. 20 a
Meißen,,G & W Gewerbe- und Wohnungsbaugesellschaft mbH,01662,Dr.-Eberle-Platz 1
Meißen,,G & W Gebäude- und Wohnungsverwaltung GmbH,01662,Elbstraße 4
Wilsdruff,,G & W Elektrorecycling UG (haftungsbeschränkt),01723,Am Wüsteberg 2
Dresden,,G & S Landwirtschafts-Service GmbH,01307,Lortzingstr. 37
Braunschweig,,G & V Grundbesitz- und Verwaltungsgesellschaft mbH,38106,Rebenring 31
Zittau,,G & R Zittauer Hotel und Gaststätten UG (haftungsbeschränkt),02763,Friedensstr. 23
Boxberg OT Nochten,,Šwjela-Scheune Nochten e.V.,02943,Paul-Schneider-Weg 74
Senftenberg,,´Clever` Foliendruck GmbH,01968,Kraftwerkstr. 17
,,Öase Marsdorf e.V.,,
Dresden,,[j2]consult ® Jänchen & Partner Beratende Volks- und Betriebswirte,01277,Herkulesstr. 1
Dresden,,@ petit Station GmbH,01097,Königsbrücker Str. 1
Dresden,,9list Invest GmbH,01257,Pirnaer Landstr. 166
,,950 Jahre Pesterwitz e.V.,,
Selbitz,,987 Trading & Finance GmbH,95152,Bachgasse 5
,,90 AR 427/14 - HRA 390 Altregister Amtsgericht Bautzen - zunächst registriert unter 90 AR 1434/04 beim Amtsgericht Dresden: Heinke & Sohn,,
Diera-Zehren,,90er Hausbau GmbH,01665,Meißner Str. 11
Ascheberg,,G & P Handels GmbH,59387,Römerweg 38
Dresden OT Weixdorf,,G & L Heizung und Sanitär GmbH,01108,Schelsstr. 21
Dresden,,G & K Vertriebs GmbH,01187,Nürnberger Str. 31a
Dresden,,G & K Glas- und Gebäudereinigungsgesellschaft mbH (Neuer Firmenname: G & K Immobilien GmbH),01309,Gluckstr. 5
Radeburg OT Großdittmannsdorf,,G & B Baugesellschaft mbH,01471,Friedrich Ludwig - Jahn- Allee 7
Großenhain,,G & H Garten,01558,Parkstr. 3
Dresden,,8 WEAPONS UG (haftungsbeschränkt),01097,Fritz-Reuter-Str. 2
Dresden,,7o7 Marketing GmbH,01259,Thömelstr. 2
Görlitz,,79th Element Germany UG (haftungsbeschränkt),02827,Fritz-Heckert-Str. 2 B
Bautzen,,6M GmbH,02625,Boblitzer Str. 21
Dresden,,7capital GmbH,01097,Antonstr. 3 A
Görlitz,,79th Elementh e. K.,02826,Grüner Graben 2
Dresden,,64 Felder e.V.,01159,Bünaustr. 26 c
,,6-Tage-Irgendwas e.V.,,
Dresden,,5G Lab GmbH,01067,Freiberger Str. 37
Dresden,,5D Engineering GmbH,01109,Moritzburger Weg 67
Riesa,,4M Systemgastronomie und Handelsgesellschaft mbH,01591,Hafenstr. 31
Dresden,,5-pm UG (haftungsbeschränkt),01157,Cossebauder Str. 23
Dresden,,5 S Elektronik GmbH & Co. KG,01156,Cottaerstr. 27
Wilsdruff,,4viewture UG (haftungsbeschränkt),01723,Talblick 7
Dresden,,G-MAT Automatisierungstechnik GmbH,01159,Fröbelstr. 51 a
Dresden,,4Source electronics Aktiengesellschaft,01099,Glacisstr. 2-4
Diera-Zehren,,4forLife UG (haftungsbeschränkt),01665,Am Ketzerbach 18
Dresden,,G.N.b.h. Architekten Grill und Neumann Partnerschaft,01099,Martin-Luther-Straße 15
Vierkirchen,,G.M.V. Dachbau GmbH,02894,Neubausiedlung 27 a
Kubschütz OT Litten,,G.M.B.KT - Modulgerüst GmbH,02627,Gewerbepark 17
Dresden,,G.M. Gebäude Management GmbH Dresden,01219,Wilhelm-Franke-Str.34
Altötting,,G.K. - Bauträger GmbH,84503,Mühldorfer Str. 14 a
Nossen,,G.H.L. Handels GmbH & Co. Service KG,01683,Waldheimer Str. 8
