Country,Survey,Pop Class,Foodex L1,Metrics,Nr Subjetcs,Nr Consumers,Mean,STD,P5,P10,Median,P95,P97.5,P99,Comment
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Grains and grain-based products,A.01.000001,308,305,245.85,122.51,61.30,100.00,240.70,477.25,527.75,578.25, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Vegetables and vegetable products (including fungi,A.01.000317,308,246,89.52,94.34,0.00,0.00,72.13,252.00,354.00,430.20, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Starchy roots and tubers,A.01.000467,308,109,31.28,52.78,0.00,0.00,0.00,141.00,195.50,224.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Legumes. nuts and oilseeds,A.01.000486,308,71,7.88,24.29,0.00,0.00,0.00,42.50,65.50,100.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Fruit and fruit products,A.01.000544,308,263,163.58,153.87,0.00,0.00,128.75,431.50,506.50,760.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Meat and meat products (including edible offal),A.01.000727,308,251,82.85,92.51,0.00,0.00,60.71,237.70,305.90,344.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Fish and other seafood (including amphibians. rept,A.01.000876,308,64,15.62,36.33,0.00,0.00,0.00,99.50,125.00,142.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Milk and dairy products,A.01.000948,308,294,150.29,138.51,10.00,20.00,118.75,390.00,528.50,630.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Eggs and egg products,A.01.001252,308,33,3.38,10.32,0.00,0.00,0.00,30.00,30.00,37.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Sugar and confectionary,A.01.001267,308,223,17.50,23.11,0.00,0.00,10.00,61.00,80.50,111.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Animal and vegetable fats and oils,A.01.001346,308,263,12.74,11.56,0.00,0.00,10.11,31.21,35.00,38.30, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Fruit and vegetable juices,A.01.001394,308,156,110.46,179.39,0.00,0.00,11.00,500.00,640.00,795.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,308,287,515.14,495.57,0.00,100.00,400.00,1.250.00,1.640.00,2.392.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Alcoholic beverages,A.01.001534,308,144,149.51,280.61,0.00,0.00,0.00,750.00,995.00,1.125.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Drinking water (water without any additives except,A.01.001573,308,300,1144.73,650.60,250.00,360.00,1.090.00,2.350.00,2.625.00,2.750.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Herbs. spices and condiments,A.01.001580,308,270,29.95,37.76,0.00,0.00,20.00,110.66,132.92,152.73, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Food for infants and small children,A.01.001715,308,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Products for special nutritional use,A.01.001748,308,11,5.74,47.93,0.00,0.00,0.00,0.00,15.00,250.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Composite food (including frozen products),A.01.001789,308,281,218.33,159.86,0.00,32.50,190.50,512.50,584.00,649.00, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Snacks. desserts. and other foods,A.01.001877,308,98,19.09,39.21,0.00,0.00,0.00,100.00,145.00,190.50, 
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Grains and grain-based products,A.01.000001,67,67,244.85,119.62,90.65,100.00,224.65,527.15,555.80,580.50,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Vegetables and vegetable products (including fungi,A.01.000317,67,47,81.80,89.66,0.00,0.00,65.50,263.00,278.88,445.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Starchy roots and tubers,A.01.000467,67,27,35.81,55.80,0.00,0.00,0.00,141.00,141.00,282.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Legumes. nuts and oilseeds,A.01.000486,67,12,6.02,15.24,0.00,0.00,0.00,45.50,55.00,65.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Fruit and fruit products,A.01.000544,67,62,152.25,108.56,0.00,10.00,134.50,378.75,399.50,485.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Meat and meat products (including edible offal),A.01.000727,67,61,85.41,61.99,0.00,12.50,86.00,187.55,243.75,273.00,Number of observations lower than 300. the 99th may not be statistically robust
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Elderly,Fish and other seafood (including amphibians. rept,A.01.000876,67,21,25.69,45.10,0.00,0.00,0.00,99.50,142.50,199.00,Number of observations lower than 300. the 99th may not be statistically robust
